dollars,projected,rec
$2.50 ,1,5
$7.50 ,1.3,5
$2.50 ,1.6,5
$2.50 ,1.9,5
$6.75 ,2.2,5
$7.50 ,2.5,5
$2.00 ,2.8,5
$3.25 ,3.1,5
$9.00 ,3.4,5
$2.50 ,3.7,5
$2.50 ,4,5
$3.25 ,4.3,5
$2.50 ,4.6,5
$7.50 ,4.9,5
$6.70 ,5.2,5
$5.25 ,5.5,5
$2.50 ,5.8,5
$6.75 ,6.1,5
$2.50 ,6.4,5
$2.50 ,6.7,5
$7.50 ,7,5
$1.29 ,7.3,5
$6.75 ,7.6,5
$6.00 ,7.9,5
$1.50 ,8.2,5
$2.50 ,8.5,5
$4.00 ,8.8,5
$7.50 ,9.1,5
$3.25 ,9.4,5
$2.50 ,9.7,5
$7.50 ,10,5
$7.50 ,10.3,5
$2.50 ,10.6,5
$1.50 ,10.9,5
$1.50 ,11.2,5
$3.25 ,11.5,5
$2.75 ,11.8,5
$2.50 ,12.1,5
$7.50 ,12.4,5
$5.50 ,12.7,5
$1.50 ,13,5
$3.25 ,13.3,5
$5.75 ,13.6,5
$1.50 ,13.9,5
$9.25 ,14.2,5
$0.75 ,14.5,5
$1.50 ,14.8,5
$7.50 ,15.1,5
$4.50 ,15.4,5
$3.25 ,15.7,5
$2.50 ,16,5
$7.50 ,16.3,5
$3.00 ,16.6,5
$1.50 ,16.9,5
$8.00 ,17.2,5
$2.50 ,17.5,5
$7.50 ,17.8,5
$2.50 ,18.1,5
$3.25 ,18.4,5
$3.75 ,18.7,5
$2.50 ,19,5
$2.50 ,19.3,5
$2.50 ,19.6,5
$8.00 ,19.9,5
$3.25 ,20.2,5
$2.50 ,20.5,5
$3.00 ,20.8,5
$1.50 ,21.1,5
$2.50 ,21.4,5
$3.00 ,21.7,5
$15.00 ,22,5
$2.50 ,22.3,5
$3.25 ,22.6,5
$2.50 ,22.9,5
$2.00 ,23.2,5
$7.50 ,23.5,5
$3.75 ,23.8,5
$1.50 ,24.1,5
$7.20 ,24.4,5
$7.50 ,24.7,5
$2.00 ,25,5
$1.50 ,25.3,5
$2.50 ,25.6,5
$2.50 ,25.9,5
$8.00 ,26.2,5
$5.50 ,26.5,5
$2.50 ,26.8,5
$2.50 ,27.1,5
$9.00 ,27.4,5
$1.50 ,27.7,5
$3.25 ,28,5
$3.25 ,28.3,5
$3.75 ,28.6,5
$1.81 ,28.9,5
$8.00 ,29.2,5
$8.00 ,29.5,5
$3.00 ,29.8,5
$3.50 ,30.1,5
$1.25 ,30.4,5
$6.75 ,30.7,5
$8.00 ,31,5
$3.00 ,31.3,5
$2.50 ,31.6,5
$1.25 ,31.9,5
$2.50 ,32.2,5
$2.50 ,32.5,5
$2.50 ,32.8,5
$1.50 ,33.1,5
$2.50 ,33.4,5
$3.00 ,33.7,5
$2.50 ,34,5
$8.00 ,34.3,5
$2.50 ,34.6,5
$3.50 ,34.9,5
$1.50 ,35.2,5
$10.50 ,35.5,5
$3.75 ,35.8,5
$5.50 ,36.1,5
$2.50 ,36.4,5
$2.50 ,36.7,5
$6.75 ,37,5
$3.75 ,37.3,5
$2.50 ,37.6,5
$3.00 ,37.9,5
$2.75 ,38.2,5
$3.50 ,38.5,5
$3.75 ,38.8,5
$1.25 ,39.1,5
$3.75 ,39.4,5
$2.50 ,39.7,5
$1.25 ,40,5
$2.50 ,40.3,5
$3.75 ,40.6,5
$8.00 ,40.9,5
$3.50 ,41.2,5
$3.00 ,41.5,5
$3.00 ,41.8,5
$3.00 ,42.1,5
$2.50 ,42.4,5
$3.50 ,42.7,5
$2.50 ,43,5
$11.00 ,43.3,5
